"codigo";"instituicao";"municipio";"uf"
"003587";"FACULDADE DIOCESANA SÃO JOSÉ (FADISI)";"Rio Branco";"AC"
"000302";"FACULDADE DIVINÓPOLIS (FACED)";"Divinópolis";"MG"
"002146";"FACULDADE DO ACRE (FAC)";"Rio Branco";"AC"
"001638";"FACULDADE DO AMAZONAS (IAES)";"Manaus";"AM"
"002949";"FACULDADE DO BAIXO PARNAÍBA (FAP)";"Chapadinha";"MA"
"000685";"FACULDADE DO BELO JARDIM (FBJ)";"Belo Jardim";"PE"
"016759";"Faculdade do Bico do Papagaio (FABIC)";"Augustinópolis";"TO"
"004329";"FACULDADE DO CENTRO EDUCACIONAL MINEIRO - FACEM (FACEM-BH)";"Belo Horizonte";"MG"
"001409";"FACULDADE DO CENTRO LESTE (UCL)";"Serra";"ES"
"017828";"Faculdade do Centro Leste - Cariacica (UCL)";"Cariacica";"ES"
"019287";"Faculdade do Centro Maranhense (FCMA)";"Barra do Corda";"MA"
"019325";"Faculdade do Centro Oeste Paulista (FACOP)";"Piratininga";"SP"
"019475";"Faculdade Docktor (FADOCKTOR)";"Muriaé";"MG"
"000243";"FACULDADE DO CLUBE NÁUTICO MOGIANO (FCNM)";"Mogi das Cruzes";"SP"
"003625";"Faculdade do Complexo Educacional Santo André (FACESA)";"Açu";"RN"
"001243";"Faculdade Doctum da Serra (DOCTUM)";"Serra";"ES"
"005276";"Faculdade Doctum de Carangola (DOCTUM)";"Carangola";"MG"
"018208";"Faculdade Doctum de Ipatinga";"Ipatinga";"MG"
"001558";"Faculdade Doctum de João Monlevade (DOCTUM)";"João Monlevade";"MG"
"002220";"Faculdade Doctum de Juiz de Fora (DOCTUM)";"Juiz de Fora";"MG"
"002096";"FACULDADE DOCTUM DE MANHUAÇU - DOCTUM (FCM)";"Manhuaçu";"MG"
"001063";"Faculdade Doctum de Vila Velha (DOCTUM)";"Vila Velha";"ES"
"001064";"Faculdade Doctum de Vitória (DOCTUM)";"Vitória";"ES"
"019219";"FACULDADE DO DISTRITO FEDERAL (FACDF)";"Brasília";"DF"
"018019";"Faculdade do Educador (FEDUC)";"São Paulo";"SP"
"002245";"FACULDADE DO ESPÍRITO SANTO (FACES)";"Vitória";"ES"
"001970";"FACULDADE DO ESPÍRITO SANTO (UNES)";"Cachoeiro de Itapemirim";"ES"
"002909";"FACULDADE DO ESTADO DO MARANHÃO (FACEM)";"São Luís";"MA"
"002040";"FACULDADE DO FUTURO (FAF)";"Manhuaçu";"MG"
"001275";"FACULDADE DO GUARUJÁ (FAGU)";"Guarujá";"SP"
"001815";"FACULDADE DO INSTITUTO BRASIL (FIBRA)";"Anápolis";"GO"
"003007";"FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE CAMPINAS (FAC. INPG - CAMPINAS)";"Campinas";"SP"
"003008";"FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS (FACULDADE INPG - SJC)";"São José dos Campos";"SP"
"021638";"Faculdade do Instituto Pecege (IPECEGE)";"Piracicaba";"SP"
"020541";"FACULDADE DO INSTITUTO SUPERIOR DE EDUCAÇÃO - ISE (ISE)";"Campo Largo";"PR"
"001622";"FACULDADE DO INTERIOR PAULISTA (FIP)";"Barra Bonita";"SP"
"001411";"FACULDADE DOIS DE JULHO (F2J)";"Salvador";"BA"
"002624";"FACULDADE DO LITORAL PARANAENSE (FLP)";"Guaratuba";"PR"
"001898";"FACULDADE DO LITORAL SUL PAULISTA (FALS)";"Praia Grande";"SP"
"017628";"Faculdade do Maciço do Baturité (FMB)";"Baturité";"CE"
"002687";"FACULDADE DOM ALBERTO (FDA)";"Santa Cruz do Sul";"RS"
"002189";"FACULDADE DO MARANHÃO (FACAM-MA)";"São Luís";"MA"
"001256";"FACULDADE DOM BOSCO (DOM BOSCO)";"Cascavel";"PR"
"002831";"FACULDADE DOM BOSCO DE GOIOERÊ (DOM BOSCO GOIOERÊ)";"Goioerê";"PR"
"021459";"FACULDADE DOM BOSCO DE MARINGA (DOM BOSCO)";"Maringá";"PR"
"002113";"FACULDADE DOM BOSCO DE PORTO ALEGRE (FDB)";"Porto Alegre";"RS"
"001801";"FACULDADE DOM BOSCO DE UBIRATÃ (DOM BOSCO UBIRATÃ)";"Ubiratã";"PR"
"005008";"FACULDADE DO MÉDIO PARNAÍBA";"São Pedro do Piauí";"PI"
"002475";"FACULDADE DOM LUCIANO MENDES (FDLM)";"Mariana";"MG"
"003669";"FACULDADE DOM LUIS DE ORLEANS E BRAGANÇA (FARRP)";"Ribeira do Pombal";"BA"
"003588";"FACULDADE DOM PEDRO II (FDPII)";"Salvador";"BA"
"001124";"Faculdade Dom Pedro II de Barreiras (DP II Barreiras)";"Barreiras";"BA"
"003427";"Faculdade Dom Pedro II de Sergipe (DP II Sergipe)";"Lagarto";"SE"
"004460";"FACULDADE DOM PEDRO II DE TECNOLOGIA (FAB)";"Salvador";"BA"
"002553";"Faculdade Dom Pedro II - Luis Eduardo Magalhães (FDP II LEM)";"Luís Eduardo Magalhães";"BA"
"013752";"FACULDADE DOM RICARDO (FDR)";"Guarulhos";"SP"
"014975";"FACULDADE DO NORDESTE DA BAHIA (FANEB)";"Coronel João Sá";"BA"
"000682";"FACULDADE DO NOROESTE DE MINAS (FINOM)";"Paracatu";"MG"
"017118";"Faculdade do Norte de Mato Grosso (AJES)";"Guarantã do Norte";"MT"
"001453";"FACULDADE DO NORTE DO PARANÁ (FACNORTE)";"Sarandi";"PR"
"004586";"FACULDADE DO NORTE GOIANO (FNG)";"Porangatu";"GO"
"001856";"FACULDADE DO NORTE NOVO DE APUCARANA (FACNOPAR)";"Apucarana";"PR"
"002961";"FACULDADE DO PANTANAL MATOGROSSENSE (FAPAN)";"Cáceres";"MT"
"002150";"FACULDADE DO PIAUÍ (FAPI)";"Teresina";"PI"
"013784";"FACULDADE DO PLANALTO CENTRAL (FAPLAC)";"Formosa";"GO"
"011817";"FACULDADE DO POVO (FAP)";"São Paulo";"SP"
"002242";"FACULDADE DO RECIFE (FAREC)";"Recife";"PE"
"000202";"FACULDADE DO RIO DE JANEIRO";"Rio de Janeiro";"RJ"
"013728";"FACULDADE DOS CARAJÁS";"Marabá";"PA"
"001609";"FACULDADE DOS CERRADOS PIAUIENSES (FCP)";"Corrente";"PI"
"003431";"FACULDADE DO SERIDÓ (FAS)";"Currais Novos";"RN"
"002761";"FACULDADE DO SERTÃO (UESSBA)";"Irecê";"BA"
"011951";"FACULDADE DO SERTÃO BAIANO (FASBE)";"Monte Santo";"BA"
"001012";"FACULDADE DO SERTÃO DO PAJEÚ (FASP)";"Afogados da Ingazeira";"PE"
"021514";"FACULDADE DO SERTÃO DO SÃO FRANCISCO (FASF)";"Cabrobó";"PE"
"014002";"Faculdade dos Guararapes (FG)";"Recife";"PE"
"021557";"FACULDADE DOS PALMARES (FAP)";"Palmares";"PE"
"002532";"FACULDADE DO SUDESTE GOIANO (FASUG)";"Pires do Rio";"GO"
"002241";"FACULDADE DO SUDESTE MINEIRO (FACSUM)";"Juiz de Fora";"MG"
"002944";"FACULDADE DO SUL";"Itabuna";"BA"
"001790";"FACULDADE DO SUL DA BAHIA (FASB)";"Teixeira de Freitas";"BA"
"002623";"FACULDADE DO TAPAJÓS (FAT)";"Itaituba";"PA"
"004910";"FACULDADE DO TRABALHO (FATRA)";"Uberlândia";"MG"
"014879";"FACULDADE DOURADO (FD)";"São Paulo";"SP"
"000439";"FACULDADE DOUTOR FRANCISCO MAEDA (FAFRAM)";"Ituverava";"SP"
"001503";"FACULDADE DOUTOR LEOCÁDIO JOSÉ CORREIA (FALEC)";"Curitiba";"PR"
"002755";"FACULDADE DO VALE DO ITAJAÍ MIRIM (FAVIM)";"Brusque";"SC"
"001967";"FACULDADE DO VALE DO ITAPECURÚ (FAI)";"Caxias";"MA"
"001350";"FACULDADE DO VALE DO JAGUARIBE (FVJ)";"Aracati";"CE"
"018631";"FACULDADE DO VALE DO RIO ARINOS (AJES)";"Juara";"MT"
"019674";"Faculdade do Vale do São Francisco (FAVASF)";"Petrolina";"PE"
"004289";"FACULDADE DO VALE ELVIRA DAYRELL - FAVED (FAVED)";"Virginópolis";"MG"
"016525";"FACULDADE DUARTE COELHO (FDC)";"Surubim";"PE"
"021165";"FACULDADE EASE BRASIL (EASE)";"Fortaleza";"CE"
"003699";"FACULDADE ECOAR (FAECO)";"Passo Fundo";"RS"
"020330";"Faculdade Educacional Araucária (Facear)";"Fazenda Rio Grande";"PR"
"013749";"FACULDADE EDUCACIONAL ARAUCÁRIA (Facear)";"Curitiba";"PR"
"001205";"FACULDADE EDUCACIONAL DA LAPA (FAEL)";"Lapa";"PR"
"001611";"FACULDADE EDUCACIONAL DE ARAPOTI (FATI)";"Arapoti";"PR"
"001907";"FACULDADE EDUCACIONAL DE COLOMBO (FAEC)";"Colombo";"PR"
"001798";"FACULDADE EDUCACIONAL DE CORNÉLIO PROCÓPIO (FACED)";"Cornélio Procópio";"PR"
"001657";"FACULDADE EDUCACIONAL DE DOIS VIZINHOS (FAED)";"Dois Vizinhos";"PR"
"012847";"FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO (FEFB)";"Francisco Beltrão";"PR"
"005079";"FACULDADE EDUCACIONAL DE MATELÂNDIA (FAMA)";"Matelândia";"PR"
"001574";"FACULDADE EDUCACIONAL DE MEDIANEIRA (UDC Medianeira)";"Medianeira";"PR"
"001774";"FACULDADE EDUCACIONAL DE PONTA GROSSA";"Ponta Grossa";"PR"
"018659";"Faculdade Educacional Fortaleza - EDUFOR (EDUFOR)";"Fortaleza";"CE"
"004995";"Faculdade Educamais (EDUCA+)";"São Paulo";"SP"
"019866";"Faculdade EduCareMT (EDUCARE)";"Cuiabá";"MT"
"001322";"FACULDADE EDUVALE DE AVARÉ (EDUVALE)";"Avaré";"SP"
"014367";"FACULDADE EFICAZ (FACULDADE EFICAZ)";"Maringá";"PR"
"002500";"FACULDADE EINSTEIN";"Salvador";"BA"
"020666";"Faculdade ELO (FAELO)";"Recife";"PE"
"002766";"FACULDADE EMPRESARIAL DE CHAPECÓ (FAEM)";"Chapecó";"SC"
"001585";"FACULDADE ENERGIA DE ADMINISTRAÇÃO E NEGÓCIOS (FEAN)";"Florianópolis";"SC"
"001892";"FACULDADE ENIAC (ENIAC)";"Guarulhos";"SP"
"003215";"FACULDADE ENTRE RIOS DO PIAUÍ (FAERPI)";"Teresina";"PI"
"003171";"FACULDADE EQUIPE";"Sapucaia do Sul";"RS"
"001386";"FACULDADE ESAMC CAMPINAS (ESAMC)";"Campinas";"SP"
"017902";"FACULDADE ESAMC JUNDIAÍ (ESAMC)";"Jundiaí";"SP"
"002408";"FACULDADE ESAMC SANTOS (ESAMC)";"Santos";"SP"
"004211";"Faculdade ESAMC São Paulo - ESAMC (ESAMC)";"São Paulo";"SP"
"001561";"FACULDADE ESAMC SOROCABA (ESAMC)";"Sorocaba";"SP"
"001468";"FACULDADE ESAMC UBERLÂNDIA (ESAMC)";"Uberlândia";"MG"
"016245";"FACULDADE ESCOLA DE NEGÓCIOS EXCELLENCE (FAENE)";"São Luís";"MA"
"000905";"FACULDADE ESCOLA PAULISTA DE DIREITO (FACEPD)";"São Paulo";"SP"
"017882";"FACULDADE ESCOLA POLITÉCNICA DE INOVAÇÃO E CONHECIMENTO APLICADO (ÉPICA)";"Blumenau";"SC"
"001697";"FACULDADE ESCRITOR OSMAN DA COSTA LINS (FACOL)";"Vitória de Santo Antão";"PE"
"011429";"FACULDADE ESPECIALIZADA NA ÁREA DE SAÚDE DO RIO GRANDE DO SUL (FASURGS)";"Passo Fundo";"RS"
"001766";"FACULDADE ESPÍRITO SANTENSE (UNICAPE)";"Cariacica";"ES"
"002351";"FACULDADE ESPÍRITO SANTENSE DE CIÊNCIAS JURÍDICAS (PIO XII - DIR)";"Cariacica";"ES"
"017876";"FACULDADE ESPÍRITO SANTO (FAES)";"Eunápolis";"BA"
"005000";"FACULDADE ESTAÇÃO (FAEST)";"Curitiba";"PR"
"018678";"FACULDADE ESTÁCIO CACHOEIRO DE ITAPEMIRIM (Estácio FECI)";"Cachoeiro de Itapemirim";"ES"
"001280";"Faculdade Estácio Cotia (Estácio FAAC)";"Cotia";"SP"
"004094";"Faculdade Estácio da Paraíba (ESTÁCIO PARAÍBA)";"João Pessoa";"PB"
"001298";"Faculdade Estácio de Alagoas - Estácio FAL (ESTÁCIO FAL)";"Maceió";"AL"
"022076";"Faculdade Estácio de Alagoinhas";"Alagoinhas";"BA"
"018132";"Faculdade Estácio de Barbacena- EstácioBARBACENA";"Barbacena";"MG"
"018164";"Faculdade Estácio de Bauru (Estácio BAURU)";"Bauru";"SP"
"001521";"FACULDADE ESTÁCIO DE BELÉM - ESTÁCIO BELÉM (ESTÁCIO BELÉM)";"Belém";"PA"
"004169";"Faculdade Estácio de Carapicuíba (ESTÁCIO CARAPICUÍBA)";"Carapicuíba";"SP"
"021287";"FACULDADE ESTÁCIO DE CASCAVEL";"Cascavel";"PR"
"004915";"FACULDADE ESTÁCIO DE CASTANHAL (ESTÁCIO CASTANHAL)";"Castanhal";"PA"
"018010";"Faculdade Estácio de Cuiabá (ESTÁCIO CUIABÁ)";"Cuiabá";"MT"
"001817";"Faculdade Estácio de Curitiba (ESTÁCIO CURITIBA)";"Curitiba";"PR"
"013783";"FACULDADE ESTÁCIO DE FEIRA DE SANTANA (ESTÁCIO FEIRA DE SAN)";"Feira de Santana";"BA"
"003170";"FACULDADE ESTÁCIO DE FLORIANÓPOLIS - ESTÁCIO FLORIANÓPOLIS";"Florianópolis";"SC"
"018115";"Faculdade Estácio de Goiânia (Estácio Goiânia)";"Goiânia";"GO"
"002431";"Faculdade Estácio de Ibiúna (ESTÁCIO IBIÚNA)";"Ibiúna";"SP"
"018260";"Faculdade Estácio de Imperatriz - ESTÁCIO IMPERATRIZ";"Imperatriz";"MA"
"022191";"Faculdade Estácio de Jaraguá do Sul (Estácio Jaraguá)";"Jaraguá do Sul";"SC"
"019913";"Faculdade Estácio de Jataí Estácio Jataí (Estácio Jataí)";"Jataí";"GO"
"003838";"FACULDADE ESTÁCIO DE JOÃO PESSOA - ESTÁCIO DE JOÃO PESSOA";"João Pessoa";"PB"
"022202";"Faculdade Estácio de Juazeiro (EstácioJuazeiro)";"Juazeiro";"BA"
"017744";"Faculdade Estácio de Manaus (Estácio Manaus)";"Manaus";"AM"
"018117";"Faculdade Estácio de Maringá (Estácio Maringá)";"Maringá";"PR"
"002460";"FACULDADE ESTÁCIO DE NATAL (ESTÁCIO DE NATAL)";"Natal";"RN"
"021266";"FACULDADE ESTÁCIO DE PASSOS (ESTÁCIO PASSOS)";"Passos";"MG"
"018135";"Faculdade Estácio de Pernambuco - Estácio PERNAMBUCO";"Recife";"PE"
"017803";"Faculdade Estácio de Rio Preto (Estácio Rio Preto)";"São José do Rio Preto";"SP"
"000862";"FACULDADE ESTÁCIO DE SÁ DE CAMPO GRANDE (FESCG)";"Campo Grande";"MS"
